REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ACCESS,WB_BPS_ONLINE_SALES,WB_BPS_RCV_POLICY,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
TJK,Tajikistan,2021-06,2021-06-01,WB_BPS_SECTOR_RET,Sector: Retail,24.41,-15.05,49,6.73,32.38,15.53,8.16,5.21,3,,11.4,,1.50333333333333,10.49,40.34,,,,,,,,15.05,-0.615518790672519,-0.662160358442817,14.18
TUN,Tunisia,2020-06,2020-06-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,,-69.19,89.37,,45.25,7.22,12.2,16.15,8.55,18.62,14.31,1.51,3.4975,,,,,,,,,-0.774278159837619,69.19,0.369911389681284,,
TUN,Tunisia,2020-09,2020-09-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,,-49.66,86.68,,29.19,15.1,32.43,13.56,,,25.98,,3.996,,,,,,,,,,49.66,0.274007935026489,-0.774278159837619,14.31
TUN,Tunisia,2020-06,2020-06-01,WB_BPS_SECTOR_OS,Sector: Other Services,,-70.4,88.8,,37.79,8.56,10.89,14.86,35.85,20.44,9.92,4,1.888,,,,,,,,,0.394242414559522,70.4,0.301147324144692,,
TUN,Tunisia,2020-09,2020-09-01,WB_BPS_SECTOR_OS,Sector: Other Services,,-48.49,84.58,,23.95,13.4,32.6,12.02,,,26.3,,4.46,,,,,,,,,,48.49,0.157365602132124,0.394242414559522,9.92
TUN,Tunisia,2020-06,2020-06-01,WB_BPS_SECTOR_RET,Sector: Retail,,-66.65,89.47,,39.84,7.12,13.58,11.44,16.68,19.94,8.05,4.48,1.558,,,,,,,,,-0.365420359804358,66.65,0.257546488726232,,
TUN,Tunisia,2020-09,2020-09-01,WB_BPS_SECTOR_RET,Sector: Retail,,-48.81,87.31,,24.66,12.62,24.71,10.52,,,14.75,,1.882,,,,,,,,,,48.81,0.0990018875286239,-0.365420359804358,8.05
TUR,Turkiye,2020-06,2020-06-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,31.11,-29.07,59.3,,43.94,27.59,30.91,12.28,4.91,40,29.21,,7.046,,,,,,,,,-0.316720118582155,29.07,0.0263090496225163,,
TUR,Turkiye,2021-03,2021-03-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,19.98,-29.82,65,,11.07,6.01,12.17,1.71,3.03,27.45,26.9,4.67,5.58,,,54.3,51.42,29.05,41.41,17.71,38.778,-0.698891286032607,29.82,-0.755718119772688,-0.316720118582155,29.21
TUR,Turkiye,2021-12,2021-12-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,84.22,-9.03,30.99,6.57,68.14,10.67,7.32,5.77,0.99,,29.23,,2.1475,20.14,32.46,,,,,,,,9.03,-0.254613486636876,-0.698891286032607,26.9
TUR,Turkiye,2020-06,2020-06-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,40.66,-39.43,77.14,-19.31,70.07,29.58,45.38,22.04,5.96,42.39,41.94,8.09,13.194,,,,,,,,,-0.366215871055336,39.43,0.732900414985937,,
TUR,Turkiye,2021-03,2021-03-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,24.25,-14.03,48.2,,31.68,22.96,9.61,2.07,2.99,48.38,56.52,6.23,14.32,,,83.56,42.24,53.89,71.51,35.99,57.438,-0.0794873570039702,14.03,-0.619907467360692,-0.366215871055336,41.94
TUR,Turkiye,2021-12,2021-12-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,65.18,-2.22,35.15,8.78,48.57,20.95,10.65,4.59,2.38,90.6,68.19,,4.0475,43.16,22.29,,,,,,,0.703552308708394,2.22,-0.333586391043884,-0.0794873570039702,56.52
TUR,Turkiye,2020-06,2020-06-01,WB_BPS_SECTOR_OS,Sector: Other Services,45.97,-44.76,79.67,-16.51,49.91,25.51,55.9,27.77,15.59,48.84,35.48,17.7,9.718,,,,,,,,,0.327062011572355,44.76,0.749504268759248,,
TUR,Turkiye,2021-03,2021-03-01,WB_BPS_SECTOR_OS,Sector: Other Services,39.46,-36.66,72.56,,24.99,13.38,23.68,6.08,7.66,37.61,41.24,7.73,10.252,,,79.09,40.34,56.12,66.78,40.26,56.518,-0.0575439442144994,36.66,-0.184669410073851,0.327062011572355,35.48
TUR,Turkiye,2021-12,2021-12-01,WB_BPS_SECTOR_OS,Sector: Other Services,59.72,-22.06,60.37,10.36,37.31,20.32,20.13,8.28,3.32,78.94,47.58,,5.5425,36.96,35.08,,,,,,,0.48974516468188,22.06,-0.0283880858932203,-0.0575439442144994,41.24
TUR,Turkiye,2020-06,2020-06-01,WB_BPS_SECTOR_RET,Sector: Retail,22.99,-31.42,71.43,-15.95,48.92,18.6,60.16,20,5.51,56.67,33.53,19.89,11.244,,,,,,,,,0.0949834476812947,31.42,0.285946372603237,,
TUR,Turkiye,2021-03,2021-03-01,WB_BPS_SECTOR_RET,Sector: Retail,34.45,-30.47,72.88,,15.34,10.58,25.29,3.96,3.53,50.98,39.73,10.39,9.496,,,80.56,32.86,68.01,66.26,44.47,58.432,0.0539137165243472,30.47,-0.383984811971167,0.0949834476812947,33.53
TUR,Turkiye,2021-12,2021-12-01,WB_BPS_SECTOR_RET,Sector: Retail,58.36,-15.38,50.9,9.8,34,14.02,17.85,3.36,1.69,87.2,54.6,,6.87,54.1,25.77,,,,,,,0.583687671210681,15.38,-0.230899445796986,0.0539137165243472,39.73
TZA,Tanzania,2020-06,2020-06-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,38.78,-23.55,68.88,,,15.23,6.6,6.6,,7.69,,,,,,,,,,,,,23.55,-0.467214248490864,,
TZA,Tanzania,2020-12,2020-12-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,29.13,-22.36,58.29,8.55,3.33,11.75,1.38,1.92,0.77,8.15,50.71,1.46,4.64,,,68.28,2.03,25.66,17.83,0.44,22.848,-1.34357365259768,22.36,-0.863533989189112,,
TZA,Tanzania,2020-06,2020-06-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,52.7,-39.32,85.14,7.97,,21.62,16.67,10.36,2.61,21.48,,,3.544,,,,,,,,,-0.882615488863664,39.32,0.148608963532433,,
TZA,Tanzania,2020-12,2020-12-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,30.78,-32.42,73.12,9.33,4.74,11.53,2.08,1.92,1.84,19.96,58.58,3.25,5.55,,,69.17,1.03,28.15,18.1,,29.1125,-1.02712466063388,32.42,-0.648340874736599,-0.882615488863664,
