REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ACCESS,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_RCV_POLICY,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ONLINE_SALES,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
CIV,Cote d'Ivoire,2020-04,2020-04-01,WB_BPS_SIZE_M,Size: Medium (20-99),,,-66.37,97.92,,52.53,0.74,61.92,41.59,,,,,,,,,,,,,,66.37,1.01875753013012,,
CIV,Cote d'Ivoire,2020-04,2020-04-01,WB_BPS_SIZE_MI,Size: Micro (0-4),,,-72.35,99.6,,40.06,1.14,26.07,26.19,,,,,,,,,,,,,,72.35,0.512554627109879,,
CIV,Cote d'Ivoire,2020-04,2020-04-01,WB_BPS_SIZE_S,Size: Small (5-19),,,-59.89,94.03,,49.66,2.92,53.95,32.53,,,,,,,,,,,,,,59.89,0.765909416923423,,
DZA,Algeria,2020-08,2020-08-01,WB_BPS_SIZE_L,Size: Large (100+),9.47,,-38.64,77.81,,61.14,18.11,31.7,10.52,2.86,4.4,61.76,13.7,,,,,,,,,-0.17670747370692,38.64,0.286156378319334,,
DZA,Algeria,2020-08,2020-08-01,WB_BPS_SIZE_M,Size: Medium (20-99),6.56,,-44.6,78.75,,65.74,26.87,28.1,16.83,1.585,1.39,57.91,22.47,,,,,,,,,-0.135325829208965,44.6,0.523053587100449,,
DZA,Algeria,2020-08,2020-08-01,WB_BPS_SIZE_S,Size: Small (5-19),5.31,,-51.79,80.12,,57.79,17.71,36.02,19.33,,9.47,56.92,21.76,,,,,,,,,0.159614455931024,51.79,0.519257663739585,,
GAB,Gabon,2020-05,2020-05-01,WB_BPS_SIZE_L,Size: Large (100+),29.31,64.41,-31.16,84.48,,,23.33,73.33,41.67,10.085,,74.58,,,,,,,,,,,31.16,0.964353147008466,,
GAB,Gabon,2020-05,2020-05-01,WB_BPS_SIZE_M,Size: Medium (20-99),11.49,65.74,-33.22,87.16,,,29.13,68.93,32.04,5.32,,64.21,,,,,,,,,,,33.22,0.948359218136795,,
GAB,Gabon,2020-05,2020-05-01,WB_BPS_SIZE_MI,Size: Micro (0-4),44.68,,-73.51,85.47,,,12.31,63.08,29.23,13.0025,,,,,,,,,,,,,73.51,0.974221167175847,,
GAB,Gabon,2020-05,2020-05-01,WB_BPS_SIZE_S,Size: Small (5-19),25.76,76.19,-48.32,90.8,,,22.86,75.71,42.55,9.7225,,25,,,,,,,,,,,48.32,1.29267947055744,,
