REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ACCESS,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_RCV_POLICY,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ONLINE_SALES,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
KGZ,Kyrgyz Republic,2020-08,2020-08-01,WB_BPS_SIZE_MI,Size: Micro (0-4),9.62,33.3,-26.6,62.95,,10.07,13.14,22.77,9.53,3.47,,,,,,,,,,,,,26.6,-0.509385261315302,,9.62
KGZ,Kyrgyz Republic,2021-06,2021-06-01,WB_BPS_SIZE_MI,Size: Micro (0-4),7.43,19.11,-11.99,48.28,15.54,15.97,11.31,14.77,6.03,1.82333333333333,,,,29.55,57.04,,,,,,,,11.99,-0.562893296271359,,9.62
KGZ,Kyrgyz Republic,2020-08,2020-08-01,WB_BPS_SIZE_S,Size: Small (5-19),14.38,44.98,-30.68,70.72,,19.24,25.84,30.97,14.26,4.83666666666667,8.09,48.74,13.29,,,,,,,,,-0.249943835062335,30.68,-0.0371149331411821,-0.249943835062335,14.38
KGZ,Kyrgyz Republic,2021-06,2021-06-01,WB_BPS_SIZE_S,Size: Small (5-19),14.26,20.35,-14.97,51.11,12.16,25.54,25.07,12.34,8.41,3.18,6.15,,,32.32,44.07,,,,,,,-0.249943835062335,14.97,-0.432251738181797,-0.249943835062335,14.38
KHM,Cambodia,2020-06,2020-06-01,WB_BPS_SIZE_L,Size: Large (100+),31.48,37.35,,,,,,,,,15.38,25.77,8.96,,,,,,,,,-0.440752672211196,,,-0.440752672211196,
KHM,Cambodia,2020-09,2020-09-01,WB_BPS_SIZE_L,Size: Large (100+),31.48,16.89,,,,,,,,,,32.1,6.02,,,,,,,,,-0.952283699002014,,,-0.440752672211196,
KHM,Cambodia,2021-05,2021-05-01,WB_BPS_SIZE_L,Size: Large (100+),31.48,30.67,,,,33.91,1.18,25.24,27.87,10.39,16.92,48.76,18.78,,,,,,,,,0.252706413786095,,-0.248732330324657,-0.952283699002014,
KHM,Cambodia,2020-06,2020-06-01,WB_BPS_SIZE_M,Size: Medium (20-99),35.09,33.04,,,,,,,,,9.29,45.31,13.39,,,,,,,,,-0.254554653222848,,,-0.254554653222848,
KHM,Cambodia,2020-09,2020-09-01,WB_BPS_SIZE_M,Size: Medium (20-99),35.09,19.42,,,,,,,,,,54.52,13.97,,,,,,,,,-0.0929548357122032,,,-0.254554653222848,
KHM,Cambodia,2021-05,2021-05-01,WB_BPS_SIZE_M,Size: Medium (20-99),35.09,27.86,,,,32.48,5.82,22.72,20.14,16.415,7.78,64.83,22.45,,,,,,,,,0.238031482571609,,-0.346452216441818,-0.0929548357122032,
KHM,Cambodia,2020-06,2020-06-01,WB_BPS_SIZE_MI,Size: Micro (0-4),9.15,41.38,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2020-09,2020-09-01,WB_BPS_SIZE_MI,Size: Micro (0-4),9.15,37.1,,,,,,,,,,,,,,,,,,,,,,,,
