Stratum,n,Arrears_mean,Arrears_p50,SalesChange_mean,DropSales_mean,SalesExp6m_mean
Sector: Other Services,82,44.253125,46.015,-40.2731578947368,74.9777631578948,-2.96148936170213
Sector: Manufacturing,77,42.7222580645161,38.81,-35.4972222222222,71.6683333333333,-1.232
Sector: Retail,77,41.4516393442623,35.93,-33.5568493150685,72.6132876712329,-0.49125
Sector: Agriculture,42,46.0705882352941,40.185,-28.555,64.34925,0.896666666666667
