model,term,estimate,std.error,conf.low,conf.high,p.value
Arrears risk FE MI (lag(1)),ACI (lag(1)),-0.842,1.955,-4.711,3.026,0.667
Arrears risk FE MI (lag(1)),Public support access (lag(1)),-0.004,0.052,-0.107,0.099,0.944
Arrears risk FE MI (lag(1)),ACI × Support (lag(1)),0.041,0.039,-0.037,0.119,0.302
