model,term,estimate,std.error,conf.low,conf.high,p.value
Arrears risk FE MI (lag(1)),ACI (lag(1)),-0.842340408013124,1.95534058543836,-4.71102609275035,3.02634527672411,0.667340226692241
Arrears risk FE MI (lag(1)),Public support access (lag(1)),-0.00369630416135413,0.0520550269343624,-0.10675834400157,0.0993657356788618,0.94350951632463
Arrears risk FE MI (lag(1)),ACI × Support (lag(1)),0.0407261040049403,0.0392631823064489,-0.0370719105782248,0.118524118588105,0.301857254651357
