Stratum,n,Arrears_mean,Arrears_p50,SalesChange_mean,DropSales_mean,SalesExp6m_mean
Size: Small (5-19),83,46.419393939394,45.575,-38.6297402597403,74.8515584415585,-1.94854166666667
Size: Medium (20-99),78,44.5453225806452,44.95,-33.33,70.2608450704225,-3.94456521739131
Size: Micro (0-4),77,41.8198076923077,42.64,-40.8028169014085,74.8833802816901,2.15925925925926
Size: Large (100+),57,37.0886956521739,36.275,-24.2463461538462,62.2921153846154,-3.70058823529412
